Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Car_Age
2014,3,5,27000,0,0,0,10
2013,4,9,43000,1,0,0,11
2017,7,9,6900,0,0,0,7
2011,2,4,5200,0,0,0,13
2014,4,6,42450,1,0,0,10
2018,9,9,2071,1,0,0,6
2015,6,8,18796,0,0,0,9
2015,6,8,33429,1,0,0,9
2016,8,8,20273,1,0,0,8
2015,7,8,42367,1,0,0,9
2017,2,3,2135,0,0,0,7
2015,6,10,51000,1,0,0,9
2015,7,9,15000,0,0,1,9
2015,6,7,26000,0,0,0,9
2009,2,7,77427,0,0,0,15
2016,7,10,43000,1,0,0,8
2015,7,10,41678,1,0,0,9
2015,3,5,35500,2,0,0,9
2010,2,7,41442,0,0,0,14
2016,2,3,25000,0,0,0,8
2017,4,5,2400,0,0,0,7
2011,4,8,50000,0,0,1,13
2014,2,3,45280,0,0,0,10
2013,2,4,56879,0,0,0,11
2011,3,4,20000,0,0,0,13
2013,4,5,55138,0,0,0,11
2017,6,6,16200,0,1,0,7
2010,1,3,44542,0,0,0,14
2015,7,10,45000,1,0,0,9
2012,3,5,51439,1,0,0,12
2011,2,4,54200,0,0,0,13
2014,4,7,39000,1,0,0,10
2014,6,9,45000,1,0,0,10
2014,5,8,45000,1,0,0,10
2011,2,7,49998,2,0,0,13
2015,4,7,48767,0,0,0,9
2006,0,2,99708,0,1,0,18
2016,3,3,10079,0,0,0,8
2006,2,7,62000,0,0,0,18
2016,5,7,24524,0,0,1,8
2014,2,3,46706,0,0,0,10
2008,1,7,58000,0,0,0,16
2014,5,8,45780,1,0,0,10
2012,1,2,50000,0,0,0,12
2014,7,12,15000,0,0,1,10
2013,2,4,64532,0,0,0,11
2006,1,4,65000,0,0,0,18
2015,5,7,25870,0,0,0,9
2017,7,9,37000,0,0,1,7
2012,13,22,99708,1,0,1,12
2015,13,22,40000,1,0,1,9
2017,13,19,15000,1,0,1,7
2013,13,22,99708,1,1,1,11
2006,2,10,90000,0,1,0,18
2009,3,15,70000,0,0,1,15
2015,4,7,40534,0,0,0,9
2010,4,18,50000,0,0,0,14
2014,4,6,39485,0,0,0,10
2014,13,22,41000,1,0,1,10
2013,6,18,40001,0,0,0,11
2015,4,7,40588,0,0,0,9
2014,13,22,78000,1,0,1,10
2015,13,22,47000,1,0,1,9
2017,13,22,6000,1,0,1,7
2014,4,6,45000,1,0,0,10
2017,13,22,11000,0,0,1,7
2010,9,20,59000,1,0,0,14
2011,4,13,88000,0,0,0,13
2016,13,20,12000,0,0,0,8
2014,3,6,71000,1,0,0,10
2011,4,12,45000,1,0,0,13
2013,7,18,56001,0,0,0,11
2011,2,5,43000,0,0,0,13
2014,4,8,83000,1,0,0,10
2015,3,6,36000,0,0,0,9
2013,5,14,72000,0,0,0,11
2006,1,12,99708,0,0,1,18
